scenario,ticker,strategy,position,entry_date,exit_date,pnl,cum_pnl,series_id,initial_balance,equity,return_pct,prev_equity,trade_return_pct
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-25,2024-04-26,-192.17011856070894,7922.664839671284,SPY|short|straddle,100000.0,107922.66483967128,0.07922664839671278,108114.834958232,-0.0017774629969601306
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-26,2024-04-29,674.6624645184702,8597.327304189754,SPY|short|straddle,100000.0,108597.32730418975,0.08597327304189739,107922.66483967128,0.006251351053281915
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-29,2024-04-30,64.08264498499693,8661.409949174751,SPY|short|straddle,100000.0,108661.40994917475,0.08661409949174748,108597.32730418975,0.0005900941264005176
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-30,2024-05-01,128.93982628266258,8790.349775457413,SPY|short|straddle,100000.0,108790.3497754574,0.08790349775457407,108661.40994917475,0.0011866202209503158
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-01,2024-05-02,-343.6565674989629,8446.693207958451,SPY|short|straddle,100000.0,108446.69320795845,0.08446693207958456,108790.3497754574,-0.0031588883408157787
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-02,2024-05-03,-911.0827173863172,7535.610490572133,SPY|short|straddle,100000.0,107535.61049057213,0.0753561049057212,108446.69320795845,-0.008401203304919736
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-03,2024-05-06,649.3944388579553,8185.004929430089,SPY|short|straddle,100000.0,108185.00492943008,0.08185004929430084,107535.61049057213,0.006038878059978922
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-06,2024-05-07,156.09052439636525,8341.095453826454,SPY|short|straddle,100000.0,108341.09545382645,0.08341095453826441,108185.00492943008,0.0014428110854936347
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-07,2024-05-08,68.66277130206936,8409.758225128524,SPY|short|straddle,100000.0,108409.75822512852,0.08409758225128527,108341.09545382645,0.0006337647871700959
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-08,2024-05-09,155.3928175030287,8565.151042631553,SPY|short|straddle,100000.0,108565.15104263155,0.08565151042631558,108409.75822512852,0.001433384042609274
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-09,2024-05-10,74.37042062342834,8639.52146325498,SPY|short|straddle,100000.0,108639.52146325498,0.08639521463254973,108565.15104263155,0.0006850303242725139
